REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.springframework.context.index.processor.MetadataCollector	metadataItems	ArrayList()	java.util.ArrayList	SOURCE
org.springframework.context.index.processor.MetadataCollector	processedSourceTypes	HashSet()	java.util.HashSet	SOURCE
org.springframework.context.index.processor.MetadataCollector	MetadataCollector(javax.annotation.processing.ProcessingEnvironment,org.springframework.context.index.processor.CandidateComponentsMetadata)	Object()	java.lang.Object	SOURCE
org.springframework.context.index.processor.MetadataCollector	MetadataCollector(javax.annotation.processing.ProcessingEnvironment,org.springframework.context.index.processor.CandidateComponentsMetadata)	TypeHelper(javax.annotation.processing.ProcessingEnvironment)	org.springframework.context.index.processor.TypeHelper	SOURCE
org.springframework.context.index.processor.MetadataCollector	processing(javax.annotation.processing.RoundEnvironment)	getRootElements()	javax.annotation.processing.RoundEnvironment	SOURCE
org.springframework.context.index.processor.MetadataCollector	processing(javax.annotation.processing.RoundEnvironment)	markAsProcessed(javax.lang.model.element.Element)	org.springframework.context.index.processor.MetadataCollector	SOURCE
org.springframework.context.index.processor.MetadataCollector	markAsProcessed(javax.lang.model.element.Element)	add(E)	java.util.Set	SOURCE
org.springframework.context.index.processor.MetadataCollector	markAsProcessed(javax.lang.model.element.Element)	getType(javax.lang.model.element.Element)	org.springframework.context.index.processor.TypeHelper	SOURCE
org.springframework.context.index.processor.MetadataCollector	add(org.springframework.context.index.processor.ItemMetadata)	add(E)	java.util.List	SOURCE
org.springframework.context.index.processor.MetadataCollector	getMetadata()	CandidateComponentsMetadata()	org.springframework.context.index.processor.CandidateComponentsMetadata	SOURCE
org.springframework.context.index.processor.MetadataCollector	getMetadata()	add(org.springframework.context.index.processor.ItemMetadata)	org.springframework.context.index.processor.CandidateComponentsMetadata	SOURCE
org.springframework.context.index.processor.MetadataCollector	getMetadata()	getItems()	org.springframework.context.index.processor.CandidateComponentsMetadata	SOURCE
org.springframework.context.index.processor.MetadataCollector	getMetadata()	shouldBeMerged(org.springframework.context.index.processor.ItemMetadata)	org.springframework.context.index.processor.MetadataCollector	SOURCE
org.springframework.context.index.processor.MetadataCollector	getMetadata()	add(org.springframework.context.index.processor.ItemMetadata)	org.springframework.context.index.processor.CandidateComponentsMetadata	SOURCE
org.springframework.context.index.processor.MetadataCollector	shouldBeMerged(org.springframework.context.index.processor.ItemMetadata)	getType()	org.springframework.context.index.processor.ItemMetadata	SOURCE
org.springframework.context.index.processor.MetadataCollector	shouldBeMerged(org.springframework.context.index.processor.ItemMetadata)	deletedInCurrentBuild(java.lang.String)	org.springframework.context.index.processor.MetadataCollector	SOURCE
org.springframework.context.index.processor.MetadataCollector	shouldBeMerged(org.springframework.context.index.processor.ItemMetadata)	processedInCurrentBuild(java.lang.String)	org.springframework.context.index.processor.MetadataCollector	SOURCE
org.springframework.context.index.processor.MetadataCollector	deletedInCurrentBuild(java.lang.String)	getTypeElement(java.lang.CharSequence)	javax.lang.model.util.Elements	SOURCE
org.springframework.context.index.processor.MetadataCollector	deletedInCurrentBuild(java.lang.String)	getElementUtils()	javax.annotation.processing.ProcessingEnvironment	SOURCE
org.springframework.context.index.processor.MetadataCollector	processedInCurrentBuild(java.lang.String)	contains(java.lang.Object)	java.util.Set	SOURCE
org.springframework.context.index.processor.ItemMetadata	ItemMetadata(java.lang.String,java.util.Set)	Object()	java.lang.Object	SOURCE
org.springframework.context.index.processor.ItemMetadata	ItemMetadata(java.lang.String,java.util.Set)	HashSet(java.util.Collection)	java.util.HashSet	SOURCE
org.springframework.context.index.processor.CandidateComponentsMetadata	CandidateComponentsMetadata()	Object()	java.lang.Object	SOURCE
org.springframework.context.index.processor.CandidateComponentsMetadata	CandidateComponentsMetadata()	ArrayList()	java.util.ArrayList	SOURCE
org.springframework.context.index.processor.CandidateComponentsMetadata	add(org.springframework.context.index.processor.ItemMetadata)	add(E)	java.util.List	SOURCE
org.springframework.context.index.processor.CandidateComponentsMetadata	getItems()	unmodifiableList(java.util.List)	java.util.Collections	SOURCE
org.springframework.context.index.processor.TypeHelper	TypeHelper(javax.annotation.processing.ProcessingEnvironment)	Object()	java.lang.Object	SOURCE
org.springframework.context.index.processor.TypeHelper	TypeHelper(javax.annotation.processing.ProcessingEnvironment)	getTypeUtils()	javax.annotation.processing.ProcessingEnvironment	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.element.Element)	getType(javax.lang.model.type.TypeMirror)	org.springframework.context.index.processor.TypeHelper	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.element.Element)	asType()	javax.lang.model.element.Element	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.element.AnnotationMirror)	getType(javax.lang.model.type.TypeMirror)	org.springframework.context.index.processor.TypeHelper	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.element.AnnotationMirror)	getAnnotationType()	javax.lang.model.element.AnnotationMirror	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	getEnclosingElement()	javax.lang.model.element.Element	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	asElement()	javax.lang.model.type.DeclaredType	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	getQualifiedName(javax.lang.model.element.Element)	org.springframework.context.index.processor.TypeHelper	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	toString()	java.lang.Object	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	getSimpleName()	javax.lang.model.element.Element	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	asElement()	javax.lang.model.type.DeclaredType	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	getQualifiedName(javax.lang.model.element.Element)	org.springframework.context.index.processor.TypeHelper	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	asElement()	javax.lang.model.type.DeclaredType	SOURCE
org.springframework.context.index.processor.TypeHelper	getType(javax.lang.model.type.TypeMirror)	toString()	javax.lang.model.type.TypeMirror	SOURCE
org.springframework.context.index.processor.TypeHelper	getQualifiedName(javax.lang.model.element.Element)	toString()	java.lang.Object	SOURCE
org.springframework.context.index.processor.TypeHelper	getQualifiedName(javax.lang.model.element.Element)	getQualifiedName()	javax.lang.model.element.QualifiedNameable	SOURCE
org.springframework.context.index.processor.TypeHelper	getQualifiedName(javax.lang.model.element.Element)	toString()	java.lang.Object	SOURCE
org.springframework.context.index.processor.TypeHelper	getSuperClass(javax.lang.model.element.Element)	directSupertypes(javax.lang.model.type.TypeMirror)	javax.lang.model.util.Types	SOURCE
org.springframework.context.index.processor.TypeHelper	getSuperClass(javax.lang.model.element.Element)	asType()	javax.lang.model.element.Element	SOURCE
org.springframework.context.index.processor.TypeHelper	getSuperClass(javax.lang.model.element.Element)	isEmpty()	java.util.List	SOURCE
org.springframework.context.index.processor.TypeHelper	getSuperClass(javax.lang.model.element.Element)	asElement(javax.lang.model.type.TypeMirror)	javax.lang.model.util.Types	SOURCE
org.springframework.context.index.processor.TypeHelper	getSuperClass(javax.lang.model.element.Element)	get(int)	java.util.List	SOURCE
org.springframework.context.index.processor.TypeHelper	getDirectInterfaces(javax.lang.model.element.Element)	directSupertypes(javax.lang.model.type.TypeMirror)	javax.lang.model.util.Types	SOURCE
